identifier;description;value;
convCoeff_CeilingADB;Convective coefficient of a ground contact surface (unused, set to 0);0;
convCoeff_CeilingInt;Convective coefficient of CeilingInt (default, considering thermal radiation);8;
convCoeff_FloorInt;Convective coefficient of FloorInt (default, considering thermal radiation);5;
convCoeff_RoofExt;Convective coefficient of a surface to ambient air (default);12.5;
convCoeff_WallExt;Convective coefficient of a surface to ambient air (default);12.5;
convCoeff_WallInt;Convective coefficient of WallInt (default, considering thermal radiation);7;
