identifier;description;construction_identifier;adjacent_A;adjacent_B;window_identifier;area;vertices;
B0001;EP Surface Names:Zn001:Wall001;C0001;AMB;Z0001;W0001;69.67728;(0,0,4.572),(0,0,0),(15.24,0,0),(15.24,0,4.572);
B0002;EP Surface Names:Zn001:Wall002;C0001;AMB;Z0001;;69.67728;(15.24,0,4.572),(15.24,0,0),(15.24,15.24,0),(15.24,15.24,4.572);
B0003;EP Surface Names:Zn001:Wall003;C0001;AMB;Z0001;;69.67728;(15.24,15.24,4.572),(15.24,15.24,0),(0,15.24,0),(0,15.24,4.572);
B0004;EP Surface Names:Zn001:Wall004;C0001;AMB;Z0001;;69.67728;(0,15.24,4.572),(0,15.24,0),(0,0,0),(0,0,4.572);
B0005;EP Surface Names:Zn001:Flr001;C0002;ADB;Z0001;;232.2576;(15.24,0,0),(0,0,0),(0,15.24,0),(15.24,15.24,0);
B0006;EP Surface Names:Zn001:Roof001;C0003;AMB;Z0001;;232.2576;(0,15.24,4.572),(0,0,4.572),(15.24,0,4.572),(15.24,15.24,4.572);
